symbol,name,sector,exchange,region,universe
TEL,TE Connectivity,Information Technology,,US,SP500
TER,Teradyne,Information Technology,,US,SP500
TFC,Truist Financial,Financials,,US,SP500
TGT,Target Corporation,Consumer Staples,,US,SP500
TJX,TJX Companies,Consumer Discretionary,,US,SP500
TKO,TKO Group Holdings,Communication Services,,US,SP500
TM,Toyota Motor,Automotive,NYSE,Japan,GLOBAL_ADR
TME,Tencent Music,Communication,NYSE,China,GLOBAL_ADR
TMO,Thermo Fisher Scientific,Health Care,,US,SP500
TMUS,T-Mobile US,Communication Services,,US,SP500
TOSYY,Toshiba,Industrials,OTC,Japan,GLOBAL_ADR
TPL,Texas Pacific Land Corporation,Energy,,US,SP500
TPR,"Tapestry, Inc.",Consumer Discretionary,,US,SP500
TRGP,Targa Resources,Energy,,US,SP500
TRI,Thomson Reuters,,NASDAQ,US,NDX100
TRMB,Trimble Inc.,Information Technology,,US,SP500
TROW,T. Rowe Price,Financials,,US,SP500
TRP,TC Energy,Energy,NYSE,Canada,GLOBAL_ADR
TRV,Travelers Companies (The),Financials,,US,SP500
TSCO,Tractor Supply,Consumer Discretionary,,US,SP500
TSLA,"Tesla, Inc.",Consumer Discretionary,,US,SP500
TSM,Taiwan Semiconductor,Technology,NYSE,Taiwan,GLOBAL_ADR
TSN,Tyson Foods,Consumer Staples,,US,SP500
TT,Trane Technologies,Industrials,,US,SP500
TTD,Trade Desk (The),Communication Services,,US,SP500
TTE,TotalEnergies,Energy,NYSE,Europe,GLOBAL_ADR
TTWO,Take-Two Interactive,Communication Services,,US,SP500
TXN,Texas Instruments,Information Technology,,US,SP500
TXT,Textron,Industrials,,US,SP500
TYL,Tyler Technologies,Information Technology,,US,SP500
UAL,United Airlines Holdings,Industrials,,US,SP500
UBER,Uber,Industrials,,US,SP500
UBS,UBS Group,Financials,NYSE,Europe,GLOBAL_ADR
UDR,"UDR, Inc.",Real Estate,,US,SP500
UHS,Universal Health Services,Health Care,,US,SP500
UL,Unilever,Consumer Staples,NYSE,Europe,GLOBAL_ADR
ULTA,Ulta Beauty,Consumer Discretionary,,US,SP500
UMC,United Microelectronics,Technology,NYSE,Taiwan,GLOBAL_ADR
UNH,UnitedHealth Group,Health Care,,US,SP500
UNP,Union Pacific Corporation,Industrials,,US,SP500
UPS,United Parcel Service,Industrials,,US,SP500
URI,United Rentals,Industrials,,US,SP500
USB,U.S. Bancorp,Financials,,US,SP500
V,Visa Inc.,Financials,,US,SP500
VALE,Vale SA,Materials,NYSE,Brazil,GLOBAL_ADR
VEDL,Vedanta,Materials,NYSE,India,GLOBAL_ADR
VICI,Vici Properties,Real Estate,,US,SP500
VLO,Valero Energy,Energy,,US,SP500
VLTO,Veralto,Industrials,,US,SP500
VMC,Vulcan Materials Company,Materials,,US,SP500
VNET,VNET Group,Technology,NASDAQ,China,GLOBAL_ADR
VRSK,Verisk Analytics,Industrials,,US,SP500
VRSN,Verisign,Information Technology,,US,SP500
VRTX,Vertex Pharmaceuticals,Health Care,,US,SP500
VST,Vistra Corp.,Utilities,,US,SP500
VTEX,VTEX,Technology,NYSE,Latin America,GLOBAL_ADR
VTR,Ventas,Real Estate,,US,SP500
VTRS,Viatris,Health Care,,US,SP500
VZ,Verizon,Communication Services,,US,SP500
WAB,Wabtec,Industrials,,US,SP500
WAT,Waters Corporation,Health Care,,US,SP500
WB,Weibo,Communication,NASDAQ,China,GLOBAL_ADR
WBD,Warner Bros. Discovery,Communication Services,,US,SP500
WDAY,"Workday, Inc.",Information Technology,,US,SP500
WDC,Western Digital,Information Technology,,US,SP500
WDS,Woodside Energy,Energy,NYSE,Australia,GLOBAL_ADR
WEC,WEC Energy Group,Utilities,,US,SP500
WELL,Welltower,Real Estate,,US,SP500
WFC,Wells Fargo,Financials,,US,SP500
WIT,Wipro,Technology,NYSE,India,GLOBAL_ADR
WM,Waste Management,Industrials,,US,SP500
WMB,Williams Companies,Energy,,US,SP500
WMT,Walmart,Consumer Staples,,US,SP500
WRB,W. R. Berkley Corporation,Financials,,US,SP500
WSM,"Williams-Sonoma, Inc.",Consumer Discretionary,,US,SP500
WST,West Pharmaceutical Services,Health Care,,US,SP500
WTW,Willis Towers Watson,Financials,,US,SP500
WY,Weyerhaeuser,Real Estate,,US,SP500
WYNN,Wynn Resorts,Consumer Discretionary,,US,SP500
XEL,Xcel Energy,Utilities,,US,SP500
XOM,ExxonMobil,Energy,,US,SP500
XPEV,XPeng,Automotive,NYSE,China,GLOBAL_ADR
XYL,Xylem Inc.,Industrials,,US,SP500
XYZ,"Block, Inc.",Financials,,US,SP500
YUM,Yum! Brands,Consumer Discretionary,,US,SP500
YUMC,Yum China,Consumer Disc,NYSE,China,GLOBAL_ADR
ZBH,Zimmer Biomet,Health Care,,US,SP500
ZBRA,Zebra Technologies,Information Technology,,US,SP500
ZS,Zscaler,,NASDAQ,US,NDX100
ZTS,Zoetis,Health Care,,US,SP500
ARKK,ARK Innovation ETF,Technology,NYSE,US,ETF
BOTZ,Global X Robotics & AI ETF,Technology,NASDAQ,US,ETF
DIA,SPDR Dow Jones Industrial ETF,Broad Market,NYSE,US,ETF
DXJ,WisdomTree Japan Hedged Equity ETF,Broad Market,NYSE,Japan,ETF
EEM,iShares MSCI Emerging Markets ETF,Broad Market,NYSE,Emerging Markets,ETF
EFA,iShares MSCI EAFE ETF,Broad Market,NYSE,International,ETF
EWA,iShares MSCI Australia ETF,Broad Market,NYSE,Australia,ETF
EWC,iShares MSCI Canada ETF,Broad Market,NYSE,Canada,ETF
EWG,iShares MSCI Germany ETF,Broad Market,NYSE,Europe,ETF
EWI,iShares MSCI Italy ETF,Broad Market,NYSE,Europe,ETF
EWJ,iShares MSCI Japan ETF,Broad Market,NYSE,Japan,ETF
EWP,iShares MSCI Spain ETF,Broad Market,NYSE,Europe,ETF
EWQ,iShares MSCI France ETF,Broad Market,NYSE,Europe,ETF
EWU,iShares MSCI United Kingdom ETF,Broad Market,NYSE,Europe,ETF
EWT,iShares MSCI Taiwan ETF,Broad Market,NYSE,Taiwan,ETF
EWW,iShares MSCI Mexico ETF,Broad Market,NYSE,Latin America,ETF
EWY,iShares MSCI South Korea ETF,Broad Market,NYSE,South Korea,ETF
EWZ,iShares MSCI Brazil ETF,Broad Market,NYSE,Brazil,ETF
EZA,iShares MSCI South Africa ETF,Broad Market,NYSE,South Africa,ETF
FXI,iShares China Large-Cap ETF,Broad Market,NYSE,China,ETF
GLD,SPDR Gold Shares ETF,Commodities,NYSE,US,ETF
HACK,ETFMG Prime Cyber Security ETF,Technology,NYSE,US,ETF
IBB,iShares Biotechnology ETF,Health Care,NASDAQ,US,ETF
IEUR,iShares Core MSCI Europe ETF,Broad Market,NASDAQ,Europe,ETF
INDA,iShares MSCI India ETF,Broad Market,NYSE,India,ETF
INDY,iShares India 50 ETF,Broad Market,NASDAQ,India,ETF
ITB,iShares U.S. Home Construction ETF,Consumer Discretionary,NYSE,US,ETF
IWM,iShares Russell 2000 ETF,Broad Market,NYSE,US,ETF
JETS,US Global Jets ETF,Industrials,NYSE,US,ETF
KWEB,KraneShares CSI China Internet ETF,Technology,NYSE,China,ETF
MCHI,iShares MSCI China ETF,Broad Market,NASDAQ,China,ETF
QQQ,Invesco Nasdaq 100 ETF,Broad Market,NASDAQ,US,ETF
SLV,iShares Silver Trust ETF,Commodities,NYSE,US,ETF
SOXX,iShares Semiconductor ETF,Technology,NASDAQ,US,ETF
SPY,SPDR S&P 500 ETF,Broad Market,NYSE,US,ETF
USO,United States Oil Fund ETF,Commodities,NYSE,US,ETF
VEA,Vanguard Developed Markets ETF,Broad Market,NYSE,International,ETF
VGK,Vanguard European Stock ETF,Broad Market,NYSE,Europe,ETF
VTI,Vanguard Total Stock Market ETF,Broad Market,NYSE,US,ETF
VWO,Vanguard Emerging Markets ETF,Broad Market,NYSE,Emerging Markets,ETF
XLB,Materials Select Sector SPDR ETF,Materials,NYSE,US,ETF
XLC,Communication Services Select Sector SPDR ETF,Communication Services,NYSE,US,ETF
XLE,Energy Select Sector SPDR ETF,Energy,NYSE,US,ETF
XLF,Financial Select Sector SPDR ETF,Financials,NYSE,US,ETF
XLI,Industrial Select Sector SPDR ETF,Industrials,NYSE,US,ETF
XLK,Technology Select Sector SPDR ETF,Technology,NYSE,US,ETF
XLP,Consumer Staples Select Sector SPDR ETF,Consumer Staples,NYSE,US,ETF
XLRE,Real Estate Select Sector SPDR ETF,Real Estate,NYSE,US,ETF
XLU,Utilities Select Sector SPDR ETF,Utilities,NYSE,US,ETF
XLV,Health Care Select Sector SPDR ETF,Health Care,NYSE,US,ETF
XLY,Consumer Discretionary Select Sector SPDR ETF,Consumer Discretionary,NYSE,US,ETF
SIEGY,Siemens AG,Industrials,OTC,Germany,GLOBAL_ADR
BAYRY,Bayer AG,Health Care,OTC,Germany,GLOBAL_ADR
ADDYY,Adidas AG,Consumer Discretionary,OTC,Germany,GLOBAL_ADR
ALIZY,Allianz SE,Financials,OTC,Germany,GLOBAL_ADR
BASFY,BASF SE,Materials,OTC,Germany,GLOBAL_ADR
DTEGY,Deutsche Telekom,Communication Services,OTC,Germany,GLOBAL_ADR
BMWYY,BMW AG,Automotive,OTC,Germany,GLOBAL_ADR
VWAGY,Volkswagen AG,Automotive,OTC,Germany,GLOBAL_ADR
LVMUY,LVMH Moët Hennessy,Consumer Discretionary,OTC,France,GLOBAL_ADR
HESAY,Hermès International,Consumer Discretionary,OTC,France,GLOBAL_ADR
LRLCY,L'Oréal SA,Consumer Staples,OTC,France,GLOBAL_ADR
AXAHY,AXA SE,Financials,OTC,France,GLOBAL_ADR
BNPQY,BNP Paribas,Financials,OTC,France,GLOBAL_ADR
AIQUY,Air Liquide SA,Materials,OTC,France,GLOBAL_ADR
DANOY,Danone SA,Consumer Staples,OTC,France,GLOBAL_ADR
STLA,Stellantis NV,Automotive,NYSE,France,GLOBAL_ADR
DEO,Diageo plc,Consumer Staples,NYSE,UK,GLOBAL_ADR
RELX,RELX plc,Industrials,NYSE,UK,GLOBAL_ADR
NGG,National Grid plc,Utilities,NYSE,UK,GLOBAL_ADR
VOD,Vodafone Group,Communication Services,NASDAQ,UK,GLOBAL_ADR
BAESY,BAE Systems,Industrials,OTC,UK,GLOBAL_ADR
RYCEY,Rolls-Royce Holdings,Industrials,OTC,UK,GLOBAL_ADR
BCS,Barclays plc,Financials,NYSE,UK,GLOBAL_ADR
PUK,Prudential plc,Financials,NYSE,UK,GLOBAL_ADR
SFTBY,SoftBank Group,Technology,OTC,Japan,GLOBAL_ADR
KDDIY,KDDI Corp,Communication Services,OTC,Japan,GLOBAL_ADR
MTSUY,Mitsubishi Corp,Industrials,OTC,Japan,GLOBAL_ADR
PCRFY,Panasonic Holdings,Technology,OTC,Japan,GLOBAL_ADR
FUJIY,Fujitsu Ltd,Technology,OTC,Japan,GLOBAL_ADR
RCRUY,Recruit Holdings,Industrials,OTC,Japan,GLOBAL_ADR
TKOMY,Tokio Marine Holdings,Financials,OTC,Japan,GLOBAL_ADR
DSNKY,Daikin Industries,Industrials,OTC,Japan,GLOBAL_ADR
TCEHY,Tencent Holdings,Technology,OTC,China,GLOBAL_ADR
BEKE,KE Holdings,Real Estate,NYSE,China,GLOBAL_ADR
VIPS,Vipshop Holdings,Consumer Discretionary,NYSE,China,GLOBAL_ADR
MNSO,MINISO Group,Consumer Discretionary,NYSE,China,GLOBAL_ADR
EDU,New Oriental Education,Education,NYSE,China,GLOBAL_ADR
TAL,TAL Education Group,Education,NYSE,China,GLOBAL_ADR
HTHT,H World Group,Consumer Discretionary,NASDAQ,China,GLOBAL_ADR
SBSW,Sibanye Stillwater,Materials,NYSE,South Africa,GLOBAL_ADR
IMPUY,Impala Platinum Holdings,Materials,OTC,South Africa,GLOBAL_ADR
AGLXY,Anglo American plc,Materials,OTC,South Africa,GLOBAL_ADR
BRFS,BRF SA,Consumer Staples,NYSE,Brazil,GLOBAL_ADR
GGB,Gerdau SA,Materials,NYSE,Brazil,GLOBAL_ADR
SID,Companhia Siderurgica Nacional,Materials,NYSE,Brazil,GLOBAL_ADR
TIMB,TIM SA,Communication Services,NYSE,Brazil,GLOBAL_ADR
VIVO,Telefonica Brasil,Communication Services,NYSE,Brazil,GLOBAL_ADR
BAP,Credicorp,Financials,NYSE,Latin America,GLOBAL_ADR
AMX,America Movil,Communication Services,NYSE,Latin America,GLOBAL_ADR
VIST,Vista Energy,Energy,NYSE,Latin America,GLOBAL_ADR
NVS,Novartis AG,Health Care,NYSE,Europe,GLOBAL_ADR
NSRGY,Nestlé SA,Consumer Staples,OTC,Europe,GLOBAL_ADR
RHHBY,Roche Holding AG,Health Care,OTC,Europe,GLOBAL_ADR
RACE,Ferrari NV,Consumer Discretionary,NYSE,Europe,GLOBAL_ADR
TEF,Telefónica SA,Communication Services,NYSE,Europe,GLOBAL_ADR
BBVA,BBVA,Financials,NYSE,Europe,GLOBAL_ADR
VOLVY,Volvo AB,Industrials,OTC,Europe,GLOBAL_ADR
FUTU,Futu Holdings Ltd,Financials,NASDAQ,China,GLOBAL_ADR
BGNE,BeiGene Ltd,Health Care,NASDAQ,China,GLOBAL_ADR
ZAI,Zai Lab Ltd,Health Care,NASDAQ,China,GLOBAL_ADR
JKS,JinkoSolar Holding,Industrials,NYSE,China,GLOBAL_ADR
DQ,Daqo New Energy,Information Technology,NYSE,China,GLOBAL_ADR
TIGR,UP Fintech Holding,Financials,NASDAQ,China,GLOBAL_ADR
LU,Lufax Holding,Financials,NYSE,China,GLOBAL_ADR
YY,JOYY Inc,Communication Services,NASDAQ,China,GLOBAL_ADR
MOMO,Hello Group Inc,Communication Services,NASDAQ,China,GLOBAL_ADR
FINV,FinVolution Group,Financials,NYSE,China,GLOBAL_ADR
BZ,KANZHUN Ltd (BOSS Zhipin),Industrials,NASDAQ,China,GLOBAL_ADR
HCM,HUTCHMED (China) Ltd,Health Care,NASDAQ,China,GLOBAL_ADR
SOHU,Sohu.com Ltd,Communication Services,NASDAQ,China,GLOBAL_ADR
QFIN,360 DigiTech Inc,Financials,NASDAQ,China,GLOBAL_ADR
LEGN,Legend Biotech Corp,Health Care,NASDAQ,China,GLOBAL_ADR
TAK,Takeda Pharmaceutical,Health Care,NYSE,Japan,GLOBAL_ADR
NTTYY,NTT Inc,Communication Services,OTC,Japan,GLOBAL_ADR
HTHIY,Hitachi Ltd,Industrials,OTC,Japan,GLOBAL_ADR
CANYY,Canon Inc,Information Technology,OTC,Japan,GLOBAL_ADR
NSANY,Nissan Motor Co,Consumer Discretionary,OTC,Japan,GLOBAL_ADR
SSUMY,Sumitomo Corporation,Industrials,OTC,Japan,GLOBAL_ADR
MSBHY,Mitsubishi Corporation,Industrials,OTC,Japan,GLOBAL_ADR
MARUY,Marubeni Corporation,Industrials,OTC,Japan,GLOBAL_ADR
MZDAF,Mazda Motor Corporation,Consumer Discretionary,OTC,Japan,GLOBAL_ADR
NDEKY,Nidec Corporation,Industrials,OTC,Japan,GLOBAL_ADR
WPP,WPP plc,Communication Services,NASDAQ,UK,GLOBAL_ADR
EXPGY,Experian plc,Industrials,OTC,UK,GLOBAL_ADR
TSCDY,Tesco plc,Consumer Staples,OTC,UK,GLOBAL_ADR
IMBBY,Imperial Brands plc,Consumer Staples,OTC,UK,GLOBAL_ADR
AVVIY,Aviva plc,Financials,OTC,UK,GLOBAL_ADR
SCBFF,Standard Chartered plc,Financials,OTC,UK,GLOBAL_ADR
LNSTY,London Stock Exchange Group,Financials,OTC,UK,GLOBAL_ADR
PSO,Pearson plc,Communication Services,NYSE,UK,GLOBAL_ADR
HEINY,Heineken NV,Consumer Staples,OTC,Netherlands,GLOBAL_ADR
WTKWY,Wolters Kluwer NV,Industrials,OTC,Netherlands,GLOBAL_ADR
AKZOY,AkzoNobel NV,Materials,OTC,Netherlands,GLOBAL_ADR
ADRNY,Ahold Delhaize NV,Consumer Staples,OTC,Netherlands,GLOBAL_ADR
ATLKY,Atlas Copco AB,Industrials,OTC,Sweden,GLOBAL_ADR
SDVKY,Sandvik AB,Industrials,OTC,Sweden,GLOBAL_ADR
ASAZY,ASSA ABLOY AB,Industrials,OTC,Sweden,GLOBAL_ADR
EQNR,Equinor ASA,Energy,NYSE,Norway,GLOBAL_ADR
YARIY,Yara International ASA,Materials,OTC,Norway,GLOBAL_ADR
NTOIY,Neste OYJ,Energy,OTC,Finland,GLOBAL_ADR
DNNGY,Orsted AS,Utilities,OTC,Denmark,GLOBAL_ADR
AMKBY,A.P. Moller-Maersk AS,Industrials,OTC,Denmark,GLOBAL_ADR
CABGY,Carlsberg AS,Consumer Staples,OTC,Denmark,GLOBAL_ADR
GMAB,Genmab AS,Health Care,NASDAQ,Denmark,GLOBAL_ADR
ZURVY,Zurich Insurance Group,Financials,OTC,Switzerland,GLOBAL_ADR
ABBNY,ABB Ltd,Industrials,OTC,Switzerland,GLOBAL_ADR
GIVNY,Givaudan SA,Materials,OTC,Switzerland,GLOBAL_ADR
LZAGY,Lonza Group AG,Health Care,OTC,Switzerland,GLOBAL_ADR
UNCRY,UniCredit SpA,Financials,OTC,Italy,GLOBAL_ADR
ISNPY,Intesa Sanpaolo SpA,Financials,OTC,Italy,GLOBAL_ADR
REPYY,Repsol SA,Energy,OTC,Spain,GLOBAL_ADR
IBDRY,Iberdrola SA,Utilities,OTC,Spain,GLOBAL_ADR
IDEXY,Inditex SA (Zara),Consumer Discretionary,OTC,Spain,GLOBAL_ADR
BUD,Anheuser-Busch InBev,Consumer Staples,NYSE,Belgium,GLOBAL_ADR
EADSY,Airbus SE,Industrials,OTC,France,GLOBAL_ADR
XP,XP Inc,Financials,NASDAQ,Brazil,GLOBAL_ADR
ELP,Copel SA,Utilities,NYSE,Brazil,GLOBAL_ADR
FMX,Fomento Economico Mexicano (FEMSA),Consumer Staples,NYSE,Mexico,GLOBAL_ADR
CX,CEMEX SAB de CV,Materials,NYSE,Mexico,GLOBAL_ADR
BSMX,Banco Santander Mexico,Financials,NYSE,Mexico,GLOBAL_ADR
SQM,Sociedad Quimica y Minera,Materials,NYSE,Chile,GLOBAL_ADR
BCH,Banco de Chile,Financials,NYSE,Chile,GLOBAL_ADR
CIB,Bancolombia SA,Financials,NYSE,Colombia,GLOBAL_ADR
EC,Ecopetrol SA,Energy,NYSE,Colombia,GLOBAL_ADR
BVN,Cia de Minas Buenaventura,Materials,NYSE,Peru,GLOBAL_ADR
CAAP,Corporacion America Airports,Industrials,NYSE,Argentina,GLOBAL_ADR
DESP,Despegar.com SA,Consumer Discretionary,NASDAQ,Argentina,GLOBAL_ADR
CPA,Copa Holdings SA,Industrials,NYSE,Panama,GLOBAL_ADR
HMY,Harmony Gold Mining,Materials,NYSE,South Africa,GLOBAL_ADR
SSL,Sasol Ltd,Energy,NYSE,South Africa,GLOBAL_ADR
MTNOY,MTN Group Ltd,Communication Services,OTC,South Africa,GLOBAL_ADR
NPSNY,Naspers Ltd,Consumer Discretionary,OTC,South Africa,GLOBAL_ADR
SGBLY,Standard Bank Group,Financials,OTC,South Africa,GLOBAL_ADR
FANDY,FirstRand Ltd,Financials,OTC,South Africa,GLOBAL_ADR
AGRPY,Absa Group Ltd,Financials,OTC,South Africa,GLOBAL_ADR
DSYPY,Discovery Ltd,Financials,OTC,South Africa,GLOBAL_ADR
RNMBY,Rheinmetall AG,Industrials,OTC,Germany,GLOBAL_ADR
HNNMY,Hensoldt AG,Industrials,OTC,Germany,GLOBAL_ADR
MTUAY,MTU Aero Engines,Industrials,OTC,Germany,GLOBAL_ADR
TKAMY,ThyssenKrupp AG,Industrials,OTC,Germany,GLOBAL_ADR
MBGAF,Mercedes-Benz Group,Consumer Discretionary,OTC,Germany,GLOBAL_ADR
POAHY,Porsche AG,Consumer Discretionary,OTC,Germany,GLOBAL_ADR
IFNNY,Infineon Technologies,Information Technology,OTC,Germany,GLOBAL_ADR
DLAKY,Deutsche Lufthansa,Industrials,OTC,Germany,GLOBAL_ADR
RWEOY,RWE AG,Utilities,OTC,Germany,GLOBAL_ADR
CCOEY,Continental AG,Consumer Discretionary,OTC,Germany,GLOBAL_ADR
KNBWY,Knorr-Bremse AG,Industrials,OTC,Germany,GLOBAL_ADR
VONOY,Vonovia SE,Real Estate,OTC,Germany,GLOBAL_ADR
SNY,Sanofi SA,Health Care,NYSE,France,GLOBAL_ADR
MGDDY,Michelin SA,Consumer Discretionary,OTC,France,GLOBAL_ADR
PRNDY,Pernod Ricard SA,Consumer Staples,OTC,France,GLOBAL_ADR
VCISY,Vinci SA,Industrials,OTC,France,GLOBAL_ADR
KRYAY,Kering SA,Consumer Discretionary,OTC,France,GLOBAL_ADR
SBGSY,Schneider Electric SE,Industrials,OTC,France,GLOBAL_ADR
CGEMY,Capgemini SE,Information Technology,OTC,France,GLOBAL_ADR
SAABY,Saab AB,Industrials,OTC,Sweden,GLOBAL_ADR
HXGBY,Hexagon AB,Information Technology,OTC,Sweden,GLOBAL_ADR
SKFRY,SKF AB,Industrials,OTC,Sweden,GLOBAL_ADR
SWGAY,Swatch Group AG,Consumer Discretionary,OTC,Switzerland,GLOBAL_ADR
CFRUY,Compagnie Financiere Richemont,Consumer Discretionary,OTC,Switzerland,GLOBAL_ADR
HCMLY,Holcim Group,Materials,OTC,Switzerland,GLOBAL_ADR
JBAXY,Julius Baer Group,Financials,OTC,Switzerland,GLOBAL_ADR
PRYMY,Prysmian Group,Industrials,OTC,Italy,GLOBAL_ADR
MONRY,Moncler SpA,Consumer Discretionary,OTC,Italy,GLOBAL_ADR
SSNLF,Samsung Electronics,Information Technology,OTC,South Korea,GLOBAL_ADR
HYMLF,Hyundai Motor Company,Consumer Discretionary,OTC,South Korea,GLOBAL_ADR
NTR,Nutrien Ltd,Materials,NYSE,Canada,GLOBAL_ADR
ASTE,Astec Industries,Industrials,NASDAQ,US,SP500
TEX,Terex Corporation,Industrials,NYSE,US,SP500
VEGI,iShares MSCI Global Agriculture ETF,Commodities,NYSE,US,ETF
PDBA,Invesco Agriculture Commodity Strategy No K-1 ETF,Commodities,NASDAQ,US,ETF
IFS,Intercorp Financial Services,Financials,NYSE,Peru,GLOBAL_ADR
LTM,LATAM Airlines Group,Industrials,NYSE,Chile,GLOBAL_ADR
CCU,Compania Cervecerias Unidas,Consumer Staples,NYSE,Chile,GLOBAL_ADR
CPAC,Cementos Pacasmayo,Materials,NYSE,Peru,GLOBAL_ADR
MURGY,Munich Re,Financials,OTC,Germany,GLOBAL_ADR
DHLGY,Deutsche Post DHL Group,Industrials,OTC,Germany,GLOBAL_ADR
SAFRY,Safran SA,Industrials,OTC,France,GLOBAL_ADR
UCBJY,UCB SA,Health Care,OTC,Belgium,GLOBAL_ADR
AMADY,Amadeus IT Group,Information Technology,OTC,Spain,GLOBAL_ADR
ASMIY,ASM International NV,Information Technology,OTC,Netherlands,GLOBAL_ADR
EONGY,E.ON SE,Utilities,OTC,Germany,GLOBAL_ADR
FSNUY,Fresenius SE & Co.,Health Care,OTC,Germany,GLOBAL_ADR
HENKY,Henkel AG & Co.,Consumer Staples,OTC,Germany,GLOBAL_ADR
BDRFY,Beiersdorf AG,Consumer Staples,OTC,Germany,GLOBAL_ADR
CRZBY,Commerzbank AG,Financials,OTC,Germany,GLOBAL_ADR
DBOEY,Deutsche Boerse AG,Financials,OTC,Germany,GLOBAL_ADR
DTRUY,Daimler Truck Holding AG,Industrials,OTC,Germany,GLOBAL_ADR
BNTGY,Brenntag SE,Industrials,OTC,Germany,GLOBAL_ADR
SMNEY,Siemens Energy AG,Utilities,OTC,Germany,GLOBAL_ADR
SEMHF,Siemens Healthineers AG,Health Care,OTC,Germany,GLOBAL_ADR
QGEN,Qiagen NV,Health Care,NASDAQ,Germany,GLOBAL_ADR
SRTOY,Sartorius AG,Health Care,OTC,Germany,GLOBAL_ADR
SYIEY,Symrise AG,Materials,OTC,Germany,GLOBAL_ADR
HVRRY,Hannover Rueck SE,Financials,OTC,Germany,GLOBAL_ADR
ZLNDY,Zalando SE,Consumer Discretionary,OTC,Germany,GLOBAL_ADR
ESLOY,EssilorLuxottica SA,Consumer Discretionary,OTC,France,GLOBAL_ADR
DASTY,Dassault Systemes SE,Information Technology,OTC,France,GLOBAL_ADR
ENGIY,Engie SA,Utilities,OTC,France,GLOBAL_ADR
PUBGY,Publicis Groupe SA,Communication Services,OTC,France,GLOBAL_ADR
SCGLY,Societe Generale SA,Financials,OTC,France,GLOBAL_ADR
CRARY,Credit Agricole SA,Financials,OTC,France,GLOBAL_ADR
RNLSY,Renault SA,Consumer Discretionary,OTC,France,GLOBAL_ADR
CRRFY,Carrefour SA,Consumer Staples,OTC,France,GLOBAL_ADR
THLLY,Thales SA,Industrials,OTC,France,GLOBAL_ADR
MT,ArcelorMittal SA,Materials,NYSE,France,GLOBAL_ADR
VEOEY,Veolia Environnement SA,Utilities,OTC,France,GLOBAL_ADR
BOUYY,Bouygues SA,Industrials,OTC,France,GLOBAL_ADR
SGSOY,Saint-Gobain SA,Materials,OTC,France,GLOBAL_ADR
VIVHY,Vivendi SE,Communication Services,OTC,France,GLOBAL_ADR
GLNCY,Glencore plc,Materials,OTC,UK,GLOBAL_ADR
LGGNY,Legal & General Group,Financials,OTC,UK,GLOBAL_ADR
CMPGY,Compass Group plc,Consumer Discretionary,OTC,UK,GLOBAL_ADR
RBGLY,Reckitt Benckiser Group,Consumer Staples,OTC,UK,GLOBAL_ADR
FLUT,Flutter Entertainment plc,Consumer Discretionary,NYSE,UK,GLOBAL_ADR
SNN,Smith & Nephew plc,Health Care,NYSE,UK,GLOBAL_ADR
ASHTF,Ashtead Group plc,Industrials,OTC,UK,GLOBAL_ADR
BTGOF,BT Group plc,Communication Services,OTC,UK,GLOBAL_ADR
SSEZF,SSE plc,Utilities,OTC,UK,GLOBAL_ADR
ARZGY,Assicurazioni Generali SpA,Financials,OTC,Italy,GLOBAL_ADR
FINMF,Leonardo SpA,Industrials,OTC,Italy,GLOBAL_ADR
MDIBY,Mediobanca SpA,Financials,OTC,Italy,GLOBAL_ADR
KYCCF,Keyence Corporation,Information Technology,OTC,Japan,GLOBAL_ADR
SHECY,Shin-Etsu Chemical,Materials,OTC,Japan,GLOBAL_ADR
FRCOY,Fast Retailing Co. Ltd,Consumer Discretionary,OTC,Japan,GLOBAL_ADR
TOELF,Tokyo Electron Ltd,Information Technology,OTC,Japan,GLOBAL_ADR
NISTF,Nippon Steel Corporation,Materials,OTC,Japan,GLOBAL_ADR
BRDCY,Bridgestone Corporation,Consumer Discretionary,OTC,Japan,GLOBAL_ADR
FUJHY,Subaru Corporation,Consumer Discretionary,OTC,Japan,GLOBAL_ADR
KUBTY,Kubota Corporation,Industrials,OTC,Japan,GLOBAL_ADR
SZKMY,Suzuki Motor Corporation,Consumer Discretionary,OTC,Japan,GLOBAL_ADR
MRAAY,Murata Manufacturing Co,Information Technology,OTC,Japan,GLOBAL_ADR
DNZOY,Denso Corporation,Consumer Discretionary,OTC,Japan,GLOBAL_ADR
ALPMY,Astellas Pharma Inc,Health Care,OTC,Japan,GLOBAL_ADR
ASBFY,Asahi Group Holdings,Consumer Staples,OTC,Japan,GLOBAL_ADR
MHVYF,Mitsubishi Heavy Industries,Industrials,OTC,Japan,GLOBAL_ADR
KIMTF,Kia Corporation,Consumer Discretionary,OTC,South Korea,GLOBAL_ADR
NHNCF,NAVER Corporation,Communication Services,OTC,South Korea,GLOBAL_ADR
BYDDY,BYD Company Ltd,Consumer Discretionary,OTC,China,GLOBAL_ADR
CIHKY,China Merchants Bank,Financials,OTC,China,GLOBAL_ADR
YPF,YPF SA,Energy,NYSE,Argentina,GLOBAL_ADR
GGAL,Grupo Financiero Galicia,Financials,NASDAQ,Argentina,GLOBAL_ADR
BMA,Banco Macro SA,Financials,NYSE,Argentina,GLOBAL_ADR
